account_id,customer_id,account_type,currency,status,opened_at,closed_at
ACC00000001,CUS0000001,SAVINGS,INR,OPEN,2020-11-18T12:00:00+00:00,
ACC00000002,CUS0000002,CURRENT,INR,OPEN,2020-02-02T12:00:00+00:00,
ACC00000003,CUS0000003,SAVINGS,INR,OPEN,2021-02-09T12:00:00+00:00,
ACC00000004,CUS0000004,SAVINGS,INR,OPEN,2025-12-23T12:00:00+00:00,
ACC00000005,CUS0000005,SAVINGS,INR,OPEN,2019-08-17T12:00:00+00:00,
ACC00000006,CUS0000006,SAVINGS,INR,OPEN,2026-03-08T12:00:00+00:00,
ACC00000007,CUS0000007,CREDIT,INR,OPEN,2017-09-10T12:00:00+00:00,
ACC00000008,CUS0000008,CREDIT,INR,OPEN,2017-01-09T12:00:00+00:00,
ACC00000009,CUS0000009,SAVINGS,INR,OPEN,2017-09-27T12:00:00+00:00,
ACC00000010,CUS0000009,CURRENT,INR,OPEN,2017-09-25T12:00:00+00:00,
ACC00000011,CUS0000010,SAVINGS,INR,OPEN,2018-03-29T12:00:00+00:00,
ACC00000012,CUS0000011,CREDIT,INR,OPEN,2017-02-11T12:00:00+00:00,
ACC00000013,CUS0000012,SAVINGS,INR,OPEN,2025-12-05T12:00:00+00:00,
ACC00000014,CUS0000013,SAVINGS,INR,RESTRICTED,2019-09-05T12:00:00+00:00,
ACC00000015,CUS0000014,CURRENT,INR,OPEN,2023-10-29T12:00:00+00:00,
ACC00000016,CUS0000015,SAVINGS,INR,OPEN,2023-01-09T12:00:00+00:00,
ACC00000017,CUS0000015,SAVINGS,INR,OPEN,2023-01-08T12:00:00+00:00,
ACC00000018,CUS0000016,CREDIT,INR,OPEN,2017-06-08T12:00:00+00:00,
ACC00000019,CUS0000016,SAVINGS,INR,OPEN,2017-06-11T12:00:00+00:00,
ACC00000020,CUS0000017,SAVINGS,INR,OPEN,2024-05-20T12:00:00+00:00,
ACC00000021,CUS0000018,SAVINGS,INR,OPEN,2025-06-03T12:00:00+00:00,
ACC00000022,CUS0000019,SAVINGS,INR,OPEN,2025-06-28T12:00:00+00:00,
ACC00000023,CUS0000020,SAVINGS,INR,OPEN,2024-01-05T12:00:00+00:00,
ACC00000024,CUS0000021,SAVINGS,INR,OPEN,2023-03-24T12:00:00+00:00,
ACC00000025,CUS0000022,CURRENT,INR,OPEN,2017-07-17T12:00:00+00:00,
ACC00000026,CUS0000023,SAVINGS,INR,OPEN,2016-10-20T12:00:00+00:00,
ACC00000027,CUS0000024,CURRENT,INR,OPEN,2020-03-23T12:00:00+00:00,
