history_id,customer_id,status,effective_from,effective_to,reason
CSH0000001,CUS0000001,ACTIVE,2020-11-12T12:00:00+00:00,,ACCOUNT_OPENING
CSH0000002,CUS0000002,ACTIVE,2020-01-30T12:00:00+00:00,,ACCOUNT_OPENING
CSH0000003,CUS0000003,ACTIVE,2021-02-03T12:00:00+00:00,,ACCOUNT_OPENING
CSH0000004,CUS0000004,ACTIVE,2025-12-19T12:00:00+00:00,,ACCOUNT_OPENING
CSH0000005,CUS0000005,ACTIVE,2019-08-14T12:00:00+00:00,,ACCOUNT_OPENING
CSH0000006,CUS0000006,ACTIVE,2026-03-03T12:00:00+00:00,,ACCOUNT_OPENING
CSH0000007,CUS0000007,ACTIVE,2017-09-10T12:00:00+00:00,,ACCOUNT_OPENING
CSH0000008,CUS0000008,ACTIVE,2017-01-02T12:00:00+00:00,,ACCOUNT_OPENING
CSH0000009,CUS0000009,ACTIVE,2017-09-20T12:00:00+00:00,,ACCOUNT_OPENING
CSH0000010,CUS0000010,ACTIVE,2018-03-23T12:00:00+00:00,,ACCOUNT_OPENING
CSH0000011,CUS0000011,ACTIVE,2017-02-06T12:00:00+00:00,,ACCOUNT_OPENING
CSH0000012,CUS0000012,ACTIVE,2025-11-29T12:00:00+00:00,,ACCOUNT_OPENING
CSH0000013,CUS0000013,DORMANT,2019-09-02T12:00:00+00:00,,PERIODIC_REVIEW
CSH0000014,CUS0000014,ACTIVE,2023-10-24T12:00:00+00:00,,ACCOUNT_OPENING
CSH0000015,CUS0000015,ACTIVE,2023-01-05T12:00:00+00:00,,ACCOUNT_OPENING
CSH0000016,CUS0000016,ACTIVE,2017-06-05T12:00:00+00:00,,ACCOUNT_OPENING
CSH0000017,CUS0000017,ACTIVE,2024-05-17T12:00:00+00:00,,ACCOUNT_OPENING
CSH0000018,CUS0000018,ACTIVE,2025-06-02T12:00:00+00:00,,ACCOUNT_OPENING
CSH0000019,CUS0000019,ACTIVE,2025-06-28T12:00:00+00:00,,ACCOUNT_OPENING
CSH0000020,CUS0000020,ACTIVE,2023-12-29T12:00:00+00:00,,ACCOUNT_OPENING
CSH0000021,CUS0000021,ACTIVE,2023-03-22T12:00:00+00:00,,ACCOUNT_OPENING
CSH0000022,CUS0000022,ACTIVE,2017-07-16T12:00:00+00:00,,ACCOUNT_OPENING
CSH0000023,CUS0000023,ACTIVE,2016-10-19T12:00:00+00:00,,ACCOUNT_OPENING
CSH0000024,CUS0000024,ACTIVE,2020-03-18T12:00:00+00:00,,ACCOUNT_OPENING
