fraud_label_id,transaction_id,label,fraud_reason,reported_at,label_delay_days,chargeback_amount,chargeback_currency,source
FRD00000001,TXN000000000015,CONFIRMED_FRAUD,MERCHANT_DISPUTE,2026-08-05T00:54:48+00:00,12,1711.28,INR,BANK_REVIEW
FRD00000002,TXN000000000014,CONFIRMED_FRAUD,LOST_OR_STOLEN_CARD,2026-08-07T21:20:05+00:00,6,1607.38,INR,CUSTOMER_REPORT
FRD00000003,TXN000000000096,CONFIRMED_FRAUD,CARD_NOT_PRESENT_FRAUD,2026-08-06T22:46:20+00:00,3,815.8,USD,BANK_REVIEW
FRD00000004,TXN000000000034,CONFIRMED_FRAUD,ACCOUNT_TAKEOVER,2026-08-11T09:04:33+00:00,6,646.92,INR,NETWORK_ALERT
FRD00000005,TXN000000000002,CONFIRMED_FRAUD,CARD_NOT_PRESENT_FRAUD,2026-08-10T12:20:33+00:00,2,1091.53,INR,BANK_REVIEW
FRD00000006,TXN000000000095,CONFIRMED_FRAUD,ACCOUNT_TAKEOVER,2026-08-11T21:31:04+00:00,3,4870.95,INR,NETWORK_ALERT
FRD00000007,TXN000000000041,CONFIRMED_FRAUD,CARD_NOT_PRESENT_FRAUD,2026-08-20T04:21:23+00:00,11,2788.6,USD,BANK_REVIEW
FRD00000008,TXN000000000010,CONFIRMED_FRAUD,LOST_OR_STOLEN_CARD,2026-08-13T22:14:24+00:00,4,2521.4,INR,BANK_REVIEW
FRD00000009,TXN000000000107,CONFIRMED_FRAUD,SOCIAL_ENGINEERING,2026-08-25T03:15:42+00:00,15,1096.0,INR,CUSTOMER_REPORT
FRD00000010,TXN000000000070,CONFIRMED_FRAUD,ACCOUNT_TAKEOVER,2026-08-16T04:24:04+00:00,3,1871.35,AED,CUSTOMER_REPORT
FRD00000011,TXN000000000055,CONFIRMED_FRAUD,CARD_NOT_PRESENT_FRAUD,2026-08-26T00:33:17+00:00,10,2616.19,USD,CUSTOMER_REPORT
