merchant_id,merchant_name,merchant_category_code,merchant_category,country_code,risk_tier,status,reference_updated_at
MER000001,Gulati PLC,5411,GROCERY,IN,MEDIUM,ACTIVE,2026-08-19T12:00:00+00:00
MER000002,Sha-Brar,4829,MONEY_TRANSFER,SG,LOW,ACTIVE,2026-08-20T12:00:00+00:00
MER000003,Reddy-Chada,5411,GROCERY,IN,LOW,ACTIVE,2026-08-18T12:00:00+00:00
MER000004,Nadig-Thaker,5999,RETAIL,IN,LOW,ACTIVE,2026-08-16T12:00:00+00:00
MER000005,Salvi LLC,5999,RETAIL,AE,MEDIUM,ACTIVE,2026-08-17T12:00:00+00:00
MER000006,"Varma, Dube and Loke",7011,HOTEL,US,MEDIUM,ACTIVE,2026-08-17T12:00:00+00:00
MER000007,"Raghavan, Bawa and Dayal",5967,ONLINE_MARKETPLACE,US,HIGH,ACTIVE,2026-08-19T12:00:00+00:00
MER000008,Kapur Inc,5411,GROCERY,AE,MEDIUM,ACTIVE,2026-08-16T12:00:00+00:00
MER000009,Narayan Inc,4829,MONEY_TRANSFER,IN,LOW,ACTIVE,2026-08-19T12:00:00+00:00
MER000010,Rau-Chaudhari,5812,RESTAURANT,IN,LOW,ACTIVE,2026-08-16T12:00:00+00:00
MER000011,Rai-Yadav,4511,AIRLINE,US,LOW,ACTIVE,2026-08-15T12:00:00+00:00
MER000012,Saxena-Walla,4829,MONEY_TRANSFER,IN,LOW,ACTIVE,2026-08-20T12:00:00+00:00
MER000013,Sule Group,4829,MONEY_TRANSFER,US,LOW,ACTIVE,2026-08-20T12:00:00+00:00
MER000014,"Naidu, Nagarajan and Khurana",5999,RETAIL,IN,LOW,ACTIVE,2026-08-15T12:00:00+00:00
MER000015,"Sehgal, Loyal and Chacko",5732,ELECTRONICS,IN,LOW,ACTIVE,2026-08-18T12:00:00+00:00
MER000016,"Devan, Mahal and Padmanabhan",5967,ONLINE_MARKETPLACE,AE,LOW,ACTIVE,2026-08-20T12:00:00+00:00
MER000017,Chada-Bala,4829,MONEY_TRANSFER,US,LOW,ACTIVE,2026-08-19T12:00:00+00:00
MER000018,Rao-Vaidya,5812,RESTAURANT,US,LOW,ACTIVE,2026-08-17T12:00:00+00:00
